textid	target	model	tokenizer	predicted	prob
0	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3443855941295624
1	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34241724014282227
2	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33711886405944824
3	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3448106646537781
4	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34260469675064087
5	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3374302387237549
6	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.33913683891296387
7	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3387952148914337
8	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34114769101142883
9	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3472624719142914
10	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34003588557243347
11	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34435251355171204
12	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34108710289001465
13	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.339081734418869
14	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34709009528160095
15	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.33765897154808044
16	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3385060429573059
17	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34937480092048645
18	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3423190414905548
19	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3394638001918793
20	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34247827529907227
21	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3376714885234833
22	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.33831626176834106
23	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3423101603984833
24	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34224018454551697
25	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34403765201568604
26	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34280717372894287
