textid	text	label
0	we were both young when i first saw you i close my eyes and the flashback starts i'm standing there on a balcony in summer air see the lights see the party the ball gowns see you make your way through the crowd and say hello little did i know  pre  that you were romeo you were throwing pebbles and my daddy said stay away from juliet and i was crying on the staircase begging you please don't go and i said    romeo take me somewhere we can be alone i'll be waiting all there's left to do is run you'll be the prince and i'll be the princess it's a love story baby just say yes   so i sneak out to the garden to see you we keep quiet 'cause we're dead if they knew so close your eyes escape this town for a little while  pre  'cause you were romeo i was a scarlet letter and my daddy said stay away from juliet but you were everything to me i was begging you please don't go and i said    romeo take me somewhere we can be alone i'll be waiting all there's left to do is run you'll be the prince and i'll be the princess it's a love story baby just say yes romeo save me they're trying to tell me how to feel this love is difficult but it's real don't be afraid we'll make it out of this mess it's a love story baby just say yes oh oh   i got tired of waiting wondering if you were ever coming around my faith in you was fading when i met you on the outskirts of town and i said  romeo save me i've been feeling so alone i keep waiting for you but you never come is this in my head i don't know what to think he knelt to the ground and pulled out a ring    and said marry me juliet you'll never have to be alone i love you and that's all i really know i talked to your dad go pick out a white dress it's a love story baby just say 'yes'   oh oh oh oh 'cause we were both young when i first saw you	0
1	do you remember the day i leaned up against your car and it started rolling down the street you screamed and ran after it and tried to open the door and it ran over your foot and i was too busy laughing on the ground to see   it would take brad pitt to leave you it takes five seconds to need you when i'm mad at all the lovebirds 'cause they don't know to play our song i wish that pretty girls couldn't see you i wish that all your roads would lead you right to me 'cause that's where you belong until brad pitt comes along   do you remember the time we watched carrie and you said it reminded you of me and i threw the remote at you and you said my point exactly and later on that night under the neon city lights you paid a homeless guy to sing a song to me   it would take brad pitt to leave you it takes five seconds to need you when i'm mad at all the lovebirds 'cause they don't know to play our song i wish that pretty girls couldn't see you i wish that all your roads would lead you right to me 'cause that's where you belong until brad pitt comes along   you call me lucky 'cause i lose everything but i swear i'd be careful with it if you gave me a ring   it would take brad pitt to leave you it takes five seconds to need you when i'm mad at all the lovebirds 'cause they don't know to play our song i wish that pretty girls couldn't see you i wish that all your roads would lead you right to me 'cause that's where you belong until brad pitt comes along	0
2	first version   you're so gorgeous and i ain't just talking about your face but look at your face oh yeah and i'm so curious your mind got me feeling some type of way what can i say you're gorgeous huh huh ohhuh  two weeks later   you should take it as a compliment that i got drunk and made fun of the way you talk i tell 'em   a little bit later   you should take it as a compliment that i got drunk and made fun of the way you talk 'cause you're cool yeah you should think about the consequence of your magnetic field getting way too strong you're so cool yeah  later that same day   you should take it as a compliment that i got drunk and made fun of the way you talk huh huh ohhuh you should think about the consequence of your magnetic field you know it ain't my fault you should think about the consequence of your magnetic field being a little too strong huh huh ohhuh and i've got a boyfriend he's older than us i haven't seen him in a couple of months  you now hey   you're so gorgeous i can't say anything to your face 'cause look at your face huh huh ohhuh and i'm so curious what's it like making me feel this way yeah what can i say you're gorgeous huh huh huh huh huh oh  still working   you should take it as a compliment that i got drunk and made fun of the way you talk you should think about the consequence of your magnetic field being a little too strong and i've got a boyfriend he's older than us i haven't seen him in a couple of months i go through phases when it comes to love i'm nothing that you want but i must say   you're so gorgeous i can't say anything to your face   i got a boyfriend he's older than us i haven't seen him in a couple of months you've gotta   i got a boyfriend he's older than us i haven't seen him in a couple of months my reputation precedes both of us  i got a boyfriend he's older than us i haven't seen him in a   one day later   you should take it as a compliment that i got drunk and made fun of the way you talk you should think about the consequence of your magnetic field being a little too strong and i've got a boyfriend he's older than us he's in the club doing i don't know what you so cool i can't  you're so cool i hate you so much i've got a boyfriend he's older than us he's in the club doing i don't know what you're so cool i hate you so much   you're so gorgeous i can't say anything to your face  still at it   you should take it as a compliment that i got drunk and made fun of the way you talk you should think about the consequence of your magnetic field being a little too strong and i've got a boyfriend he's older than us he's in the club doing i don't know what you're so cool it makes me hate you so much hate you so much   'cause you're so gorgeous i can't say anything to your face 'cause look at your face huh huh ohhuh and i'm so curious what's   two days later   you should take it as a compliment that i got drunk and made fun of the way you talk you should think about the consequence of your magnetic field being a little too strong and i've got a boyfriend he's older than us he's in the club doing i don't know what and you're so cool it makes me hate you so much i hate you so much	0
3	i can't believe you did it again walked by and took my heart with you why did you have to look so good don't you know that i'm trying to hate you trying to have a dream without you in it but how can i put out this fire when you're the one who lit it   i can't wait for the day i stop pretending that i'm really ok when i'm not i want to know how it feels to be over you for real until i do i'll keep writing songs about you   i've got a stack of papers so high and it's all about you baby keep thinking maybe i can make sense of something crazy something i can't get out of my head i write your name i write your name then i tear it all to shreds   i can't wait for the day i stop pretending that i'm really ok when i'm not i want to know how it feels to be over you for real until i do i'll keep writing songs about you   and if you ever change your mind and want me back again i hope these songs will remind me why i shouldn't let you in   i can't wait for the day i stop pretending that i'm really ok cause i'm not i want to know how it feels to be over you for real until i do   i'll just wait for the day i stop pretending that i'm really ok when i'm not i want to know how it feels to be over you for real till i do i'll keep writing songs about you	0
4	she didn't have a reason to go oh no she didn't have a reason to stay either way she didn't tell anyone about her first ray of sun she looked at her keys and found a reason to run  pre and time stands still when you're nowhere bound but i understand it somehow   if i could drive all night would i find my peace of mind would it be a million miles of cold white lies and unfamiliar exit signs i just drive on by just south of knowing why   i didn't really know her that well but i could tell that her smile was only something to hide behind she felt so out of touch because  she just felt too much if you don't know what you want nothing's ever enough  pre and time stands still when you're nowhere bound that's where i'm headed right now   if i could drive all night would i find my peace of mind would it be a million miles of cold white lies and unfamiliar exit signs i just drive on by just south of knowing why   i don't have a plan i don't have a map i don't even know if i'm ever going back i don't have a when and i don't have a where i don't even know if i'll know when i'm there   but if i could drive all night would i find my peace of mind would it be a million miles of cold white lies and unfamiliar exit signs i just drive on by  4 i just drive on by drive on drive on drive all night if i drive on drive on drive on drive all night just south of knowing why	0
5	you were what i wanted when i wanted what i just couldn't have you were country lovin' really somethin' for three months and a half everybody said that you were bad news but baby i was betting on you   so i guess i owe my friends ten dollars and a six pack got myself a big country serving of payback i guess i'm gonna have to listen to my mama's i told you so but you ain't worth all that ten dollars and a six pack   i said let them say we're crazy you said let's go fishing tonight the midnight moon was blazing baby i was looking into your eyes everything changed when you took me to town caught you staring every other girl down   so i guess i owe my friends ten dollars and a six pack got myself a big country serving of payback i guess i'm gonna have to listen to my mama's i told you so but you ain't worth all that ten dollars and a six pack   can't believe the time you lost me can't believe what it cost me   i owe my friends ten dollars and a six pack got myself a big country serving of payback had to go and listen to my mama's i told you so you ain't never been through that you ain't worth all that ten dollars and a six pack you ain't worth all that ten dollars and a six pack	0
6	let's watch the tide chase the waves onto the sand i wonder if a broken heart can feel the warmth of my hand and i wonder what a piece of driftwood has seen all through his lifetime let's walk away the past through the smokey black nights    i've seen a million things spoke a million words now i only want to speak to you waiting for the words counting every bird there's nothing i'd rather do on the smokey black nights   still through the haze i can make out constellations i'll make one of you and me as we sit in the sand and i saw that sunset gleaming as my eyes went wild let's walk away the past through the smokey black nights    i've played a thousand songs sang a thousand words now i only want to sing to you waited on a wire staring at the fire there's nothing i'd rather do on the smokey black nights    i've walked a thousand miles smiled a thousand smiles now i only smile when i'm with you waiting for the words counting every bird there's nothing i'd rather do on the smokey black nights   so walk with me as the sweet wind dances i'll write a song for you and me on the smokey black nights	0
7	i live down the street in a broken down house and a car up on blocks in the driveway the moment we meet there was never a doubt that we won't forget this sunday it starts with a smile and we walk a few miles and it all leads to this  our first kiss   all my friends are saying girl what are you thinking you're better off you're better off without him find yourself another girl that boy is trouble you're better off you're better off they can talk forever they just don't know better   we drive around town in a rusty old truck somehow it feels like we're flying don't want to come down but they make it so tough cause everyone we know is trying to push us apart hide it down in our hearts and they get what they want cause you're gone   all my friends are saying girl why are you crying you're better off you're better off without him find yourself another girl that boy is trouble you're better off you're better off they can talk forever they just don't know better   you come to my door in the pouring rain we know what we don't have to say you hand me a rose and a note that says we don't have to do things their way   all my friends are saying girl what are you thinking you're better off you're better off without him find yourself another girl that boy is trouble you're better off you're better off well they can talk forever they just don't know better	0
8	my name's gracie i'll be five in may kind of scared cause i've never been on a plane my mama says that it'll be alright cause i'm going to see my daddy tonight and she says that   there's a whole a lot of good people in heaven and i don't wanna get there too soon and i know there's a god because i met him and i see it when i'm looking at you there ain't no accidents in what we do   my name's heather guess we're on the same flight don't mind gracie she could talk to you all night she's finally well enough to travel doctor says she's in the clear she's been in and out of hospital since the beginning of the year   there's a whole a lot of good people in heaven and i don't wanna get there too soon and i know there's a god because i met him and i see it when i'm looking at you there ain't no accidents in what we do   james t johnson that's her daddy's name he's been overseas it'll be a year today he never talked about being scared over the phone he just said me and gracie will come and take him on   there's a whole a lot of good people in heaven and i don't wanna get there too soon and i know there's a god because i met him and i see it when i'm looking at you there ain't no accidents in what we do  4 and the people that we meet as we go through the rain there are no accidents in what we do	0
9	spoken  so we're gonna have the band take a little tiny break and i'm gonna play you a song that uh i wrote this when i was like thirteen years old and just moved to nashville and i knew that i wanted to end up making music and on a record label but i didn't know how i was going to get there and i wrote this song about it   i don't know what i want so don't ask me cause i'm still trying to figure it out don't know what's down this road i'm just walking trying to see through the rain coming down even though i'm not the only one who feels the way i do   i'm alone on my own and that's all i know i'll be strong i'll be wrong oh but life goes on oh i'm just a girl trying to find a place in this world   got the radio on my old blue jeans and i'm wearing my heart on my sleeve i'm feeling lucky today got the sunshine could you tell me what more do i need and tomorrow's just a mystery oh yeah but that's ok   i'm alone on my own and that's all i know i'll be strong i'll be wrong oh but life goes on oh i'm just a girl trying to find a place in this world      i'm alone on my own and that's all i know i'll be strong i'll be wrong oh but life goes on oh i'm alone on my own and that's all i know 'cause i'm just a girl trying to find a place in this world	0
